website,no_of_users,network,cpu_utilization
www.abc.com,5000,80%,95
www.cdac.com,2000,70%,80
www.xyz.com,2500,85%,90
www.pqr.com,3000,75%,70
www.new.com,1000,20%,10
www.blr.com,2000,40%,20
www.python.org,3000,60%,30
www.lang.edu,3000,70%,50
www.java.net,4000,80%,75%
www.perl.com,5000,80%,90%
www.ecity.net,2500,40%,50%
www.elica.org,3000,50%,75%
www.epass.com,2500,45%,70%
www.bus.net,5000,80%,90
www.yahoo.com,4500,70%,80
www.google.com,1000,20%,10
www.number.org,1500,25%,15
www.whois.com,2400,30%,20
www.datasets.com,3000,35%,30
www.now.com,2500,24%,20
www.dine.com,1500,25%,16
www.hotel.com,4500,70%,79
www.mark.com,5000,85%,90
www.rest.com,3500,60%,50
www.educat.in,4000,75%,60
www.nation.com,1500,26%,16
www.india.com,2500,24%,21
www.books.com,1000,20%,10
www.text.com,2000,40%,20
www.testur.com,3000,50%,40
www.later.com,4000,75%,60
www.booking.com,2000,30%,60

